Station ID, Station Name, First Year, Last Year, Year Range, % Complete, MSL Trends (mm/yr), +/- 95% CI (mm/yr) , MSL Trend (ft/century), +/- 95% CI (ft/century), Latitude, Longitude
680-479,"Carnarvon, Australia",1965,2020,56,85,2.45,1.06,0.8,0.35,-24.8987,113.651
680-494,"Port Hedland, Australia",1966,2020,55,93,2.28,1.27,0.75,0.42,-20.3176,118.5744
690-002,"Auckland II, New Zealand",1903,2000,98,97,1.29,0.2,0.42,0.07,-36.85,174.7667
690-006,"Tauranga (Salisbury Wharf), New Zealand",1984,2021,38,90,3.99,0.78,1.31,0.26,-37.641,176.1811
690-011,"Wellington, New Zealand",1944,2021,78,96,2.74,0.23,0.9,0.08,-41.2833,174.7833
690-021,"Port Lyttelton, New Zealand",1923,2021,99,91,2.9,0.19,0.95,0.06,-43.6056,172.7219
690-041,"Bluff/Southland Harbour, New Zealand",1917,2021,105,33,1.82,0.22,0.6,0.07,-46.6,168.35
690-081,"Port Taranaki, New Zealand",1955,2021,67,82,1.77,0.69,0.58,0.23,-39.0562,174.0344
690-105,"Whangarei Harbour (Marsden Point), New Zealand",1964,2021,58,59,3.58,1.09,1.18,0.36,-35.7574,174.35
700-011,"Saipan, Northern Mariana Islands",1978,2018,41,90,1.81,1.85,0.59,0.61,15.2333,145.75
710-001,"Chuuk, Federated States of Micronesia",1947,1995,49,86,0.31,1.73,0.1,0.57,7.4467,151.8467
710-026,"Kapingamarangi, Federated States Of Micronesia",1978,2018,41,84,3.44,1.9,1.13,0.62,1.1,154.7833
710-032,"Pohnpei C, Federated States of Micronesia",1974,2022,21,95,2.95,2.75,0.97,0.9,6.9805,158.2002
711-021,"Malakal B, Palau",1969,2018,50,97,2.0,2.39,0.66,0.78,7.3333,134.4667
715-002,"Nauru-B",1974,2022,30,94,3.51,2.18,1.15,0.72,-0.5294,166.91
720-017,"Majuro C, Marshall Islands",1968,2022,30,95,3.78,1.6,1.24,0.52,7.106,171.3728
730-009,"Betio, Kiribati",1974,2022,30,83,2.34,2.83,0.77,0.93,1.3651,172.933
732-012,"Funafuti B, Tuvalu",1977,2022,30,96,3.92,2.55,1.29,0.84,-8.5025,179.1952
734-004,"Honiara B, Solomon Islands",1974,2022,29,98,3.65,3.64,1.2,1.19,-9.4289,159.9554
742-014,"Suva-B, Fiji",1972,2022,26,95,7.95,1.68,2.61,0.55,-18.1325,178.4275
750-012,"Kanton Island B, Kiribati",1949,2018,47,83,1.57,1.27,0.52,0.42,-2.8167,-171.7167
760-011,"Johnston Island, USA",1947,2018,72,91,1.09,0.39,0.36,0.13,16.738,-169.53
760-017,"French Frigate Shoals B, USA",1974,2018,12,90,2.27,2.02,0.75,0.66,23.8683,-166.2883
770-022,"Christmas Island II, Kiribati",1956,2018,47,90,1.14,1.75,0.38,0.57,1.9833,-157.4833
775-001,"Penrhyn, Cook Islands",1977,2018,42,96,2.37,1.41,0.78,0.46,-9.0167,-158.0667
780-011,"Papeete-B, Fare Ute Point, French Polynesia",1976,2018,43,99,2.59,0.72,0.85,0.24,-17.5333,-149.5667
805-011,"Nuku Hiva, French Polynesia",1982,2012,31,65,1.6,2.55,0.52,0.84,-8.9333,-140.0833
808-001,"Rikitea, French Polynesia",1969,2018,50,95,2.16,0.56,0.71,0.19,-23.1333,-134.95
810-003,"Easter Island E, Chile",1970,2020,51,84,0.08,0.82,0.03,0.27,-27.15,-109.45
822-001,"Prince Rupert, Canada",1909,2021,113,83,1.09,0.21,0.36,0.07,54.3167,-130.3333
822-008,"Queen Charlotte City, Canada",1957,2021,65,89,0.43,0.43,0.14,0.14,53.25,-132.0667
822-016,"Bella Bella, Canada",1961,2021,61,97,-0.1,0.48,-0.03,0.16,52.1667,-128.1333
822-020,"Port Hardy, Canada",1964,2021,58,98,-0.6,0.5,-0.2,0.16,50.7167,-127.4833
822-027,"Campbell River, Canada",1965,2020,56,89,-1.82,0.62,-0.6,0.2,50.0167,-125.2333
822-051,"Point Atkinson, Canada",1914,2021,108,79,0.96,0.21,0.32,0.07,49.3333,-123.25
822-071,"Vancouver, Canada",1909,2021,113,84,0.55,0.2,0.18,0.07,49.2833,-123.1167
822-098,"Patricia Bay, Canada",1976,2021,46,99,0.84,0.79,0.28,0.26,48.65,-123.45
822-101,"Victoria, Canada",1909,2021,113,99,0.75,0.17,0.25,0.06,48.4167,-123.3667
822-108,"Bamfield, Canada",1969,2021,53,98,-0.14,0.66,-0.05,0.22,48.85,-125.1333
822-116,"Tofino, Canada",1909,2021,113,79,-1.22,0.25,-0.4,0.08,49.15,-125.9167
830-001,"Ensenada, Mexico",1956,1990,35,98,2.34,1.36,0.77,0.45,31.85,-116.633
830-020,"Cabo San Lucas, Mexico",1973,2003,31,78,1.69,3.41,0.55,1.12,22.8833,-109.9
830-021,"La Paz, Mexico",1952,1984,33,79,1.62,1.48,0.53,0.48,24.1667,-110.35
830-031,"Guaymas, Mexico",1952,1989,38,87,4.08,1.23,1.34,0.4,27.9167,-110.9
830-081,"Acapulco, Mexico",1967,2012,46,70,7.47,2.1,2.45,0.69,16.8333,-99.9167
830-091,"Salina Cruz, Mexico",1952,1990,39,82,1.02,1.32,0.33,0.43,16.1667,-95.2
833-011,"Acajutla, El Salvador",1962,2001,40,99,2.37,2.51,0.78,0.82,13.5667,-89.8333
840-011,"Balboa, Panama",1908,2020,113,99,1.37,0.21,0.45,0.07,8.9667,-79.5667
845-012,"La Libertad II, Ecuador",1948,2003,56,96,-1.22,0.96,-0.4,0.31,-2.2,-80.9167
845-034,"Baltra, Ecuador",1985,2018,34,90,2.57,2.69,0.84,0.88,-0.4333,-90.2833
848-032,"Callao, Peru",1970,2017,48,99,-0.36,1.18,-0.12,0.39,-12.05,-77.15
850-001,"Arica, Chile",1950,1991,42,87,-1.42,1.38,-0.47,0.45,-18.4667,-70.3333
850-007,"Iquique, Chile",1984,2022,39,96,-0.7,1.04,-0.23,0.34,-20.2044,-70.1478
850-012,"Antofagasta, Chile",1945,2022,78,94,-0.87,0.32,-0.28,0.1,-23.65,-70.4
850-021,"Caldera, Chile",1950,1991,42,99,3.01,0.73,0.99,0.24,-27.0667,-70.8333
850-039,"Juan Fernandez, Chile",1985,2022,38,88,0.42,1.39,0.14,0.45,-33.6358,-78.8297
850-041,"Talcahuano, Chile",1949,2022,74,94,0.1,0.57,0.03,0.19,-36.6833,-73.1
850-048,"Corral, Chile",1985,2022,38,90,-1.22,1.37,-0.4,0.45,-39.8783,-73.4228
860-002,"Ushuaia II, Argentina",1957,2006,38,85,-2.15,0.82,-0.7,0.27,-54.8167,-68.2167
860-011,"Puerto Deseado, Argentina",1970,2021,52,45,1.73,0.72,0.57,0.24,-47.75,-65.9167
860-031,"Puerto Madryn, Argentina",1944,2021,78,69,3.26,0.52,1.07,0.17,-42.7667,-65.0333
860-081,"Quequen, Argentina",1918,1982,65,99,0.85,0.3,0.28,0.1,-38.5833,-58.7
860-101,"Mar Del Plata  (Naval Base), Argentina",1957,2022,66,96,1.28,0.35,0.42,0.11,-38.0333,-57.5167
860-151,"Buenos Aires, Argentina",1905,1987,83,100,1.57,0.3,0.51,0.1,-34.6,-58.3667
860-161,"Palermo, Argentina",1957,2021,65,98,1.92,0.51,0.63,0.17,-34.5667,-58.4
863-002,"Stanley II, Falkland Islands",1964,2013,50,49,0.67,0.47,0.22,0.16,-51.6833,-57.8167
870-011,"Montevideo, Uruguay",1938,2022,85,81,1.18,0.45,0.39,0.15,-34.9,-56.25
870-021,"Punta del Este, Uruguay",1964,1993,30,80,3.62,1.65,1.19,0.54,-34.9667,-54.95
870-031,"La Paloma, Uruguay",1955,2022,68,73,1.47,0.57,0.48,0.19,-34.65,-54.15
874-051,"Cananeia, Brazil",1954,2006,53,97,4.2,0.62,1.38,0.2,-25.0167,-47.9333
874-092,"Ilha Fiscal, Brazil",1963,2016,54,95,2.35,1.05,0.77,0.34,-22.9,-43.1667
902-021,"Cartagena, Colombia",1949,1992,44,96,5.31,0.37,1.74,0.12,10.4,-75.55
904-011,"Cristobal, Panama",1909,1980,72,100,1.41,0.21,0.46,0.07,9.35,-79.9167
912-021,"Fort-de-France, Martinique",1976,2021,46,43,2.47,0.61,0.81,0.2,14.6015,-61.0632
920-001,"Progreso, Mexico",1952,2013,62,54,3.69,0.78,1.21,0.26,21.3,-89.6667
920-011,"Ciudad del Carmen, Mexico",1956,1988,33,89,3.6,0.94,1.18,0.31,18.6333,-91.85
920-021,"Coatzacoalcos, Mexico",1952,1987,36,73,2.86,1.06,0.94,0.35,18.15,-94.4167
920-051,"Tuxpan, Mexico",1958,1990,33,73,2.64,1.45,0.87,0.48,21.0,-97.3333
930-031,"Gibara, Cuba",1974,2021,48,99,2.46,0.74,0.81,0.24,21.1167,-76.1333
930-051,"Guantanamo Bay, Cuba",1937,1971,35,92,1.65,0.78,0.54,0.26,19.9067,-75.1467
930-065,"Casilda, Cuba",1979,2017,39,66,1.76,0.99,0.58,0.32,21.7533,-79.9917
930-071,"Cabo San Antonio, Cuba",1971,2021,51,86,4.5,0.89,1.48,0.29,21.9,-84.9
941-002,"Settlement Point A, Bahamas",1985,2018,17,89,3.56,2.16,1.17,0.71,26.6833,-78.9833
970-001,"Saint John, N.B., Canada",1896,2021,126,77,2.15,0.18,0.7,0.06,45.2667,-66.0667
970-007,"Yarmouth, Canada",1965,2021,57,92,3.85,0.39,1.26,0.13,43.8333,-66.1333
970-011,"Halifax, Canada",1895,2014,120,79,3.19,0.13,1.05,0.04,44.6667,-63.5833
970-016,"North Sydney, Canada",1970,2021,52,97,3.99,0.39,1.31,0.13,46.2167,-60.25
970-031,"Charlottetown, Canada",1911,2021,111,82,3.3,0.14,1.08,0.05,46.2333,-63.1167
970-040,"Lower Escuminac, Canada",1973,2021,49,93,3.36,0.42,1.1,0.14,47.0833,-64.8833
970-054,"Riviere-Au-Renard, Canada",1968,2021,54,93,1.29,0.44,0.42,0.14,49.0,-64.3833
970-061,"Pointe-Au-Pere, Canada",1900,1983,84,79,-0.37,0.39,-0.12,0.13,48.5167,-68.4667
970-068,"St-Francois, Canada",1962,2021,60,96,0.52,0.58,0.17,0.19,47.0,-70.8167
970-071,"Quebec, Canada",1910,2012,103,75,-0.16,0.44,-0.05,0.14,46.8333,-71.1667
970-089,"Neuville, Canada",1914,2021,108,73,0.38,0.61,0.13,0.2,46.7,-71.5667
970-099,"Sept-Iles, Canada",1972,2021,50,90,0.38,0.54,0.12,0.18,50.2,-66.4
970-111,"Port Aux Basques, Canada",1959,2021,63,90,2.9,0.27,0.95,0.09,47.5667,-59.1333
970-116,"Argentia, Canada",1971,2021,51,91,2.73,0.4,0.9,0.13,47.3,-53.9833
970-121,"St. Johns, NFLD, Canada",1935,2021,87,76,2.19,0.34,0.72,0.11,47.5667,-52.7167
970-141,"Churchill, Canada",1940,2021,82,90,-8.87,0.49,-2.91,0.16,58.7667,-94.1833
970-162,"Alert, Canada",1965,2021,57,33,-2.39,1.34,-0.78,0.44,82.49,-62.32
970-211,"Tuktoyaktuk, Canada",1961,2021,61,46,3.31,0.99,1.09,0.32,69.4167,-132.9667
999-001,"Bahia Esperanza, Antarctica",1961,1993,33,35,-4.82,2.45,-1.58,0.8,-63.3,-56.9167
999-003,"Argentine Islands, Antarctica",1958,2018,61,98,1.29,0.35,0.42,0.11,-65.25,-64.2667
